Foreign commerce of the Federal Republic of Germany
from 1950 to 2003. All amounts are in million EUR. 

Note: From 1950 to 1989, numbers only account for 
the former West Germany. 

Source: Statisches Bundesamt Deutschland
http://www.destatis.de/download/d/aussh/gesamtentwicklung04.pdf

Year Import Export
1950 5815 4275
1951 7529 7453
1952 8284 8645
1953 8186 9472
1954 9887 11266
1955 12512 13149
1956 14298 15779 
1957 16206 18390 
1958 15918 18917 
1959 18316 21057
1960 21844 24514
1961 22682 26065
1962 25308 27086
1963 26729 29813
1964 30084 33193
1965 36019 36635
1966 37156 41224
1967 35884 44505
1968 41506 50900
1969 50092 58061
1970 56041 64053 
1971 61416 69541
1972 65826 76194
1973 74351 91212
1974 91896 117893 
1975 94238 113297 
1976 113595 131219
1977 120245 139897
1978 124605 145671
1979 149318 160785
1980 174545 179120
1981 188758 202931
1982 192483 218701
1983 199502 221022
1984 222032 249624
1985 237143 274648
1986 211544 269125
1987 209446 269644
1988 224769 290237
1989 258951 327759
1990 293215 348117
1991 329228 340425
1992 325972 343089
1993 289644 321289
1994 315444 353084
1995 339617 383232
1996 352995 403377
1997 394794 454342
1998 423452 488371
1999 444797 510008
2000 538311 597440
2001 542774 638268
2002 518532 651320
2003 534534 664455
